,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,18.09,59,100,1.03,CA,1651973892
1,Sandwick,60.0,-1.25,5.9,75,97,3.09,GB,1651973893
2,San Andrés,12.5847,-81.7006,28.01,83,20,2.57,CO,1651973894
3,Chui,-33.6971,-53.4616,13.72,84,3,2.08,UY,1651973894
4,Ventspils,57.3894,21.5606,4.96,93,0,3.09,LV,1651973895
5,Kaitangata,-46.2817,169.8464,13.0,96,100,0.77,NZ,1651973896
6,Cape Town,-33.9258,18.4232,14.39,80,0,6.69,ZA,1651973896
7,Qaqortoq,60.7167,-46.0333,4.18,65,100,2.87,GL,1651973897
8,Rikitea,-23.1203,-134.9692,25.3,81,11,7.1,PF,1651973897
9,New Norfolk,-42.7826,147.0587,15.4,58,92,0.89,AU,1651973898
10,Jamestown,42.097,-79.2353,10.8,43,0,4.12,US,1651973710
11,Srīvardhan,18.0333,73.0167,28.35,75,8,4.14,IN,1651973899
12,Colac,-38.3333,143.5833,11.76,73,62,3.05,AU,1651973900
13,Pevek,69.7008,170.3133,-1.87,83,100,1.67,RU,1651973900
14,Atuona,-9.8,-139.0333,26.08,73,55,7.1,PF,1651973696
15,Camacha,33.0833,-16.3333,14.68,72,75,5.66,PT,1651973902
16,Salalah,17.0151,54.0924,28.05,83,40,2.06,OM,1651973749
17,Bathsheba,13.2167,-59.5167,27.34,78,40,5.14,BB,1651973902
18,Broome,42.2506,-75.833,10.21,43,0,4.12,US,1651973903
19,Ilulissat,69.2167,-51.1,-2.99,68,2,0.0,GL,1651973622
20,Kupang,-10.1667,123.5833,30.32,63,16,7.06,ID,1651973904
21,Qaanaaq,77.484,-69.3632,-9.11,81,99,2.47,GL,1651973905
22,Östersund,63.1792,14.6357,1.45,75,100,5.14,SE,1651973905
23,Hong Kong,22.2855,114.1577,27.88,62,84,3.13,HK,1651973711
24,Hamilton,39.1834,-84.5333,14.69,77,100,4.63,US,1651973798
25,Faya,18.3851,42.4509,18.06,39,38,1.99,SA,1651973907
26,Punta Arenas,-53.15,-70.9167,8.06,66,20,11.32,CL,1651973843
27,Vao,-22.6667,167.4833,23.48,67,40,6.81,NC,1651973908
28,Marfino,55.7028,37.3822,13.08,40,0,3.0,RU,1651973909
29,Port Alfred,-33.5906,26.891,13.99,88,99,2.24,ZA,1651973910
30,Klaksvík,62.2266,-6.589,7.51,81,100,7.46,FO,1651973635
31,Albany,42.6001,-73.9662,10.36,43,100,1.6,US,1651973872
32,Ushuaia,-54.8,-68.3,8.81,46,20,7.72,AR,1651973649
33,Ucluelet,48.9329,-125.5528,11.16,73,82,0.45,CA,1651973911
34,Port-Gentil,-0.7193,8.7815,26.47,81,100,1.72,GA,1651973912
35,Lebu,-37.6167,-73.65,11.68,92,5,0.87,CL,1651973914
36,Sistranda,63.7256,8.834,3.98,61,98,9.13,NO,1651973915
37,Saint Paul Harbor,57.79,-152.4072,14.73,38,0,6.17,US,1651973662
38,Nanortalik,60.1432,-45.2371,3.63,77,100,1.25,GL,1651973916
39,Dikson,73.5069,80.5464,-12.6,96,91,5.47,RU,1651973917
40,Jalu,29.0331,21.5482,19.61,51,72,6.92,LY,1651973917
41,Aklavik,68.2191,-135.0107,2.35,80,99,3.61,CA,1651973651
42,Puerto Ayora,-0.7393,-90.3518,21.97,93,28,3.22,EC,1651973919
43,Jinka,5.65,36.65,16.98,83,28,1.12,ET,1651973919
44,Busselton,-33.65,115.3333,18.95,60,47,2.3,AU,1651973920
45,Tuktoyaktuk,69.4541,-133.0374,2.0,80,20,6.69,CA,1651973667
46,Oudtshoorn,-33.5907,22.2014,11.2,86,91,0.66,ZA,1651973921
47,Lavrentiya,65.5833,-171.0,0.37,91,100,2.56,RU,1651973922
48,Macedo de Cavaleiros,41.5382,-6.9611,14.49,44,99,1.81,PT,1651973922
49,Sarh,9.1429,18.3923,25.95,73,0,0.0,TD,1651973923
50,Lincoln,40.8,-96.667,21.18,59,24,4.02,US,1651973600
51,Srednekolymsk,67.45,153.6833,-1.76,84,42,3.59,RU,1651973924
52,Ukiah,39.1502,-123.2078,15.94,59,0,6.17,US,1651973925
53,Airai,-8.9266,125.4092,22.51,61,44,2.48,TL,1651973632
54,Anadyr,64.75,177.4833,2.28,80,40,5.0,RU,1651973827
55,Kruisfontein,-34.0033,24.7314,12.16,79,47,2.12,ZA,1651973699
56,Suntar,62.1444,117.6319,8.72,74,57,6.19,RU,1651973926
